,Name,Widths,Hights,Latitude,Longitude,Rubbish,Plastics,Cans,Glass,Papers
0,sample (1),3024.0,4032.0,37.3949,126.9389,1.0,0.0,0.0,0.0,0.0
1,sample (2),3024.0,4032.0,37.3951,126.939,1.0,0.0,0.0,0.0,0.0
2,sample (3),3024.0,4032.0,37.3951,126.9391,1.0,0.0,0.0,0.0,0.0
3,sample (4),3024.0,4032.0,37.3958,126.9357,0.0,1.0,0.0,0.0,0.0
4,sample (5),3024.0,4032.0,37.3959,126.9345,0.0,1.0,0.0,0.0,0.0
5,sample (6),3024.0,4032.0,37.396,126.9344,0.0,1.0,0.0,0.0,0.0
6,sample (7),3024.0,4032.0,37.396,126.9344,0.0,1.0,0.0,0.0,0.0
7,sample (8),3024.0,4032.0,37.3959,126.9344,0.0,1.0,0.0,0.0,0.0
8,sample (9),3024.0,4032.0,37.3959,126.9344,0.0,1.0,0.0,0.0,0.0
9,sample (10),3024.0,4032.0,37.3956,126.9348,1.0,0.0,0.0,0.0,0.0
10,sample (11),3024.0,4032.0,37.3958,126.9346,1.0,0.0,0.0,0.0,0.0
11,sample (12),3024.0,4032.0,37.396,126.9343,1.0,0.0,0.0,0.0,0.0
12,sample (13),3024.0,4032.0,37.3957,126.9345,1.0,0.0,0.0,0.0,0.0
13,sample (14),3024.0,4032.0,37.396,126.9345,1.0,0.0,0.0,0.0,0.0
14,sample (15),3024.0,4032.0,37.396,126.9345,1.0,0.0,0.0,0.0,0.0
15,sample (16),3024.0,4032.0,37.396,126.9347,1.0,0.0,0.0,0.0,0.0
16,sample (17),3024.0,4032.0,37.396,126.9347,1.0,0.0,0.0,0.0,0.0
17,sample (18),3024.0,4032.0,37.396,126.9347,1.0,0.0,0.0,0.0,0.0
18,sample (19),3024.0,4032.0,37.396,126.9347,1.0,0.0,0.0,0.0,0.0
19,sample (20),3024.0,4032.0,37.3961,126.9347,1.0,0.0,0.0,0.0,0.0
20,sample (21),3024.0,4032.0,37.3962,126.9347,1.0,0.0,0.0,0.0,0.0
21,sample (22),3024.0,4032.0,37.3959,126.9345,1.0,0.0,0.0,0.0,0.0
22,sample (23),3024.0,4032.0,37.3963,126.9346,1.0,0.0,0.0,0.0,0.0
23,sample (24),3024.0,4032.0,37.3963,126.9346,1.0,0.0,0.0,0.0,0.0
24,sample (25),3024.0,4032.0,37.3963,126.9346,1.0,0.0,0.0,0.0,0.0
25,sample (26),3024.0,4032.0,37.39667219,126.9331583,0.0,0.0,1.0,0.0,0.0
26,sample (27),3024.0,4032.0,37.3966,126.9332,0.0,0.0,1.0,0.0,0.0
27,sample (28),3024.0,4032.0,37.3966,126.9332,0.0,0.0,1.0,0.0,0.0
28,sample (29),3024.0,4032.0,37.3966,126.9332,0.0,0.0,1.0,0.0,0.0
29,sample (30),3024.0,4032.0,37.3966,126.9332,1.0,0.0,0.0,0.0,0.0
30,sample (31),3024.0,4032.0,37.3966,126.9331,1.0,0.0,0.0,0.0,0.0
31,sample (32),3024.0,4032.0,37.3966,126.9331,1.0,0.0,0.0,0.0,0.0
32,sample (33),3024.0,4032.0,37.3967,126.9332,0.0,0.0,0.0,0.0,1.0
33,sample (34),3024.0,4032.0,37.3966,126.9332,0.0,0.0,0.0,0.0,1.0
34,sample (35),3024.0,4032.0,37.397,126.9322,1.0,0.0,0.0,0.0,0.0
35,sample (36),3024.0,4032.0,37.397,126.932,1.0,0.0,0.0,0.0,0.0
36,sample (37),3024.0,4032.0,37.3969,126.932,1.0,0.0,0.0,0.0,0.0
37,sample (38),3024.0,4032.0,37.397,126.932,1.0,0.0,0.0,0.0,0.0
38,sample (39),3024.0,4032.0,37.397,126.932,1.0,0.0,0.0,0.0,0.0
39,sample (40),3024.0,4032.0,37.397,126.932,1.0,0.0,0.0,0.0,0.0
40,sample (41),3024.0,4032.0,37.3972,126.9326,1.0,0.0,0.0,0.0,0.0
41,sample (42),3024.0,4032.0,37.3972,126.9316,1.0,0.0,0.0,0.0,0.0
42,sample (43),3024.0,4032.0,37.4012,126.928,1.0,0.0,0.0,0.0,0.0
43,sample (44),3024.0,4032.0,37.4007,126.9278,1.0,0.0,0.0,0.0,0.0
44,sample (45),3024.0,4032.0,37.4006,126.9277722,1.0,0.0,0.0,0.0,0.0
45,sample (46),3024.0,4032.0,37.4007,126.928,1.0,0.0,0.0,0.0,0.0
46,sample (47),3024.0,4032.0,37.4007,126.928,1.0,0.0,0.0,0.0,0.0
47,sample (48),3024.0,4032.0,37.4055,126.9257,0.0,0.0,0.0,0.0,1.0
48,sample (49),3024.0,4032.0,37.4025,126.9258,0.0,0.0,0.0,0.0,1.0
49,sample (50),3024.0,4032.0,37.4025,126.9258,0.0,0.0,0.0,0.0,1.0
50,sample (52),3024.0,4032.0,37.4045,126.9231,1.0,0.0,0.0,0.0,0.0
51,sample (53),3024.0,4032.0,37.409,126.9178,1.0,0.0,0.0,0.0,0.0
52,sample (54),3024.0,4032.0,37.4091,126.9178,1.0,0.0,0.0,0.0,0.0
53,sample (55),3024.0,4032.0,35.8526,129.2685,0.0,1.0,0.0,0.0,0.0
54,sample (56),3024.0,4032.0,35.8526,129.2685,0.0,1.0,0.0,0.0,0.0
55,sample (57),3024.0,4032.0,35.8524,129.2704,0.0,1.0,0.0,0.0,0.0
56,sample (58),3024.0,4032.0,35.8524,129.2704,0.0,1.0,0.0,0.0,0.0
57,sample (59),3024.0,4032.0,35.85234719,129.2702942,0.0,1.0,0.0,0.0,0.0
58,sample (60),3024.0,4032.0,37.5882,127.0192805,1.0,0.0,0.0,0.0,0.0
