1,Name,Widths,Hights,Latitude,Longitude,Rubbish,Plastics,Cans,Glass,Papers
1,SP00,2376,4224,37.589,127.02,1,1,0,0,1
2,SP01,3024,4032,37.589,127.02,1,0,0,0,0
3,SP03,3024,4032,37.589,127.02,1,0,0,0,0
4,SP04,3024,4032,37.589,127.02,1,0,0,0,0
5,SP05,2376,4224,37.589,127.02,1,0,0,0,0
6,SP06,2376,4224,37.589,127.02,1,1,0,0,1
7,SP07,2376,4224,37.589,127.02,1,1,0,0,1
8,SP08,2376,4224,37.589,127.02,1,1,0,0,1
9,SP09,2376,4224,37.589,127.02,1,1,0,0,1
10,SP10,2376,4224,37.589,127.02,0,1,0,0,0
11,SP11,2376,4224,37.589,127.02,0,1,0,0,0
12,SP12,2376,4224,37.589,127.02,0,1,0,0,0
13,SP13,2376,4224,37.589,127.02,0,1,0,0,0
14,SP14,2376,4224,37.589,127.02,0,1,0,0,0
15,SP15,2376,4224,37.589,127.02,0,1,0,0,0
16,SP16,2376,4224,37.589,127.02,1,0,0,0,0
17,SP17,2376,4224,37.589,127.02,1,0,0,0,0
18,SP18,2376,4224,37.589,127.02,1,0,0,0,0
19,SP19,2376,4224,37.589,127.02,1,0,0,0,0
20,SP20,2376,4224,37.589,127.02,1,0,0,0,0
21,SP21,2376,4224,37.589,127.02,1,0,0,0,0
22,SP22,2376,4224,37.589,127.02,0,0,0,0,1
23,SP23,2376,4224,37.589,127.02,0,0,0,0,1
24,SP24,2376,4224,37.589,127.02,0,0,0,0,1
25,SP25,2376,4224,37.589,127.02,0,0,0,0,1
26,SP26,2376,4224,37.589,127.02,0,0,0,0,1
27,SP27,2376,4224,37.589,127.02,0,0,0,0,1
28,SP28,3024,4032,37.589,127.02,1,0,0,0,0
29,SP29,3024,4032,37.589,127.02,1,0,0,0,0
30,SP30,3024,4032,37.589,127.02,1,0,0,0,0
31,SP31,3024,4032,37.589,127.02,1,1,0,0,0
32,SP32,3024,4032,37.589,127.02,1,1,0,0,0
33,SP33,3024,4032,37.589,127.02,1,1,0,0,0
34,SP34,3024,4032,37.589,127.02,1,1,0,0,0
35,SP35,3024,4032,37.589,127.02,1,1,0,0,0
36,SP36,3024,4032,37.589,127.02,1,1,0,0,0
37,SP37,3024,4032,37.589,127.02,1,1,0,0,0
38,SP38,3024,4032,37.589,127.02,0,1,0,0,0
39,SP39,3024,4032,37.589,127.02,0,1,0,0,0
40,SP40,3024,4032,37.589,127.02,0,1,0,0,0
41,SP41,3024,4032,37.589,127.02,0,1,0,0,0
42,SP42,3024,4032,37.589,127.02,0,1,0,0,0
43,SP43,1080,1440,35.89,128.607,1,1,0,0,1
44,SP44,1080,1440,35.89,128.607,1,1,0,0,1
45,SP45,1080,1440,35.89,128.607,1,1,0,0,1
46,SP46,1080,1440,35.89,128.607,1,1,0,0,1
47,SP47,1080,1440,35.89,128.607,1,1,0,0,1
48,SP48,1080,1440,35.89,128.607,1,1,0,0,1
49,SP49,1080,1440,35.89,128.607,1,1,0,0,1
50,SP50,1080,1440,35.89,128.607,1,1,0,0,1
51,SP51,750,1000,35.217,129.086,1,0,1,0,0
52,SP52,750,1000,35.217,129.086,1,0,1,0,0
53,SP53,750,1000,35.217,129.086,1,0,1,0,0
54,SP54,1440,979,35.235,129.078,1,1,1,0,0
55,SP55,1440,979,35.235,129.078,1,1,1,0,0
56,SP56,1440,979,35.235,129.078,1,1,1,0,0
57,SP57,1440,979,35.235,129.078,1,1,1,0,0
58,SP58,1440,979,35.235,129.078,1,1,1,0,0
59,SP59,750,1000,36.662,129.12,1,0,0,0,0
60,SP60,750,1000,36.662,129.12,1,0,0,0,0
61,SP61,750,1000,36.662,129.12,1,0,0,0,0
62,SP62,750,1000,36.662,129.12,1,0,0,0,0
63,SP63,750,1000,36.662,129.12,1,0,0,0,0
64,SP64,750,1000,36.662,129.12,1,0,0,0,0
65,SP65,1440,1081,36.59,128.648,1,1,1,0,0
66,SP66,1440,1081,36.59,128.648,1,1,1,0,0
67,SP67,1440,1081,36.59,128.648,1,1,1,0,0
68,SP68,1440,1081,36.59,128.648,1,1,1,0,0
69,SP69,828,1104,36.59,128.648,1,0,0,0,1
70,SP70,828,1104,36.59,128.648,1,0,0,0,1
71,SP71,828,1104,36.59,128.648,1,0,0,0,1
72,SP72,828,1104,36.59,128.648,1,0,0,0,1
73,SP73,828,1104,36.59,128.648,1,0,0,0,1
74,SP74,828,1104,36.59,128.648,1,0,0,0,1
75,SP75,828,828,36.59,128.648,1,1,0,0,0
76,SP76,828,828,36.59,128.648,1,1,0,0,0
77,SP77,828,828,36.59,128.648,1,1,0,0,0
78,SP78,828,828,36.59,128.648,1,1,0,0,0
79,SP79,756,756,36.59,128.648,1,1,0,0,0
80,SP80,756,756,36.59,128.648,1,1,0,0,0
81,SP81,1079,1440,36.59,128.648,0,1,1,0,0
82,SP82,1440,1080,36.59,128.648,0,1,1,0,0
83,SP83,1440,1080,36.59,128.648,0,1,1,0,0
84,SP84,1440,1080,36.59,128.648,0,1,1,0,0
85,SP85,1440,1080,36.59,128.648,0,1,1,0,0
86,SP86,1079,1440,36.59,128.648,0,1,1,0,0
87,SP87,1079,1440,36.59,128.648,0,1,1,0,0
88,SP88,1079,1440,36.59,128.648,0,1,1,0,0
89,SP89,1079,1440,37.368,127.926,1,1,0,0,0
90,SP90,1079,1440,37.368,127.926,1,1,0,0,0
91,SP91,1079,1440,37.368,127.926,1,1,0,0,0
92,SP92,828,1104,37.368,127.926,1,0,0,0,0
93,SP93,828,1104,37.368,127.926,1,0,0,0,0
94,SP94,1080,1440,37.368,127.926,1,0,0,0,0
95,SP95,1080,1440,37.368,127.926,1,0,0,0,0
96,SP96,756,756,37.368,127.926,0,1,0,0,0
97,SP97,756,756,37.368,127.926,0,1,0,0,0
98,SP98,824,1104,37.368,127.926,1,0,0,0,0
99,SP99,1440,1440,37.173,128.986,0,0,0,0,1
