Number,Name,Widths,Hights,Latitude(위도),Longitude(경도),Rubbish,Plastics,Cans,Glass,Papers
1,incheon01,3024,4032,37.49,126.58,1,1,0,0,0
2,incheon02,3024,4032,37.49,126.57,0,1,1,0,0
3,incheon03,3024,4032,37.49,126.57,0,1,1,0,0
4,incheon04,3024,4032,37.49,126.57,1,1,1,0,0
5,Seongbuk01,3024,4032,37.58,127.01,0,0,0,0,1
6,Seongbuk02,3024,4032,37.58,127.01,0,1,0,0,0
7,Seongbuk03,3024,4032,37.58,127.01,0,1,0,0,1
8,Seongbuk04,3024,4032,37.58,127.01,0,1,0,0,0
9,Seongbuk05,3024,4032,37.58,127.01,0,1,0,0,0
10,Seongbuk06,3024,4032,37.58,127.01,0,1,0,0,0
11,Seongbuk07,3024,4032,37.58,127.01,0,1,0,0,0
12,Seongbuk08,3024,4032,37.58,127.01,0,1,0,0,0
13,Seongbuk09,3024,4032,37.58,127.01,0,1,0,0,0
14,Seongbuk10,3024,4032,37.58,127.01,0,1,0,0,0
15,Seongbuk11,3024,4032,37.58,127.01,0,0,0,0,1
16,Seongbuk12,3024,4032,37.58,127.01,1,0,0,0,0
17,Seongbuk13,3024,4032,37.58,127.01,0,0,0,0,1
18,Seongbuk14,3024,4032,37.58,127.01,1,0,0,0,0
19,Seongbuk15,3024,4032,37.58,127.01,0,1,0,0,0
20,Seongbuk16,3024,4032,37.58,127.01,0,1,0,1,0
21,Seongbuk17,3024,4032,37.58,127.01,0,1,0,0,0
22,Seongbuk18,3024,4032,37.58,127.01,0,0,0,0,1
23,Seongbuk19,3024,4032,37.58,127.01,0,0,0,0,1
24,Seongbuk20,3024,4032,37.58,127.01,0,1,0,0,0
25,Seongbuk21,3024,4032,37.58,127.01,0,1,0,0,0
26,Seongbuk22,3024,4032,37.58,127.01,1,0,0,0,0
27,Seongbuk23,3024,4032,37.58,127.01,0,1,0,0,0
28,Seongbuk24,3024,4032,37.58,127.01,0,0,0,0,1
29,Seongbuk25,3024,4032,37.58,127.01,1,0,0,0,0
30,Seongbuk26,3024,4032,37.58,127.01,1,0,0,0,0
31,Seongbuk27,3024,4032,37.58,127.01,0,1,0,0,0
32,Seongbuk28,3024,4032,37.58,127.01,0,1,0,0,0
33,Seongbuk29,3024,4032,37.58,127.01,0,1,0,0,1
34,Seongbuk30,3024,4032,37.58,127.01,0,0,0,0,1
35,Seongbuk31,3024,4032,37.58,127.01,0,0,0,0,1
36,Seongbuk32,3024,4032,37.58,127.01,0,1,0,0,0
37,Seongbuk33,3024,4032,37.58,127.01,0,0,0,0,1
38,Seongbuk34,3024,4032,37.58,127.01,0,1,0,0,0
39,Seongbuk35,3024,4032,37.58,127.01,0,1,0,0,0
40,Seongbuk36,3024,4032,37.58,127.01,1,1,1,1,1
41,Seongbuk37,3024,4032,37.58,127.01,0,1,0,0,0
42,Seongbuk38,3024,4032,37.58,127.01,0,1,0,0,0
43,Seongbuk39,3024,4032,37.58,127.01,0,1,0,0,0
44,Seongbuk40,3024,4032,37.58,127.01,0,1,0,0,0
45,yangjae01,3024,4032,37.49,127.07,1,0,0,0,0
46,yangjae02,3024,4032,37.49,127.07,0,1,0,0,0
47,yangjae03,3024,4032,37.49,127.07,1,0,0,0,0
48,yangjae04,3024,4032,37.49,127.07,1,1,0,0,0
49,yangjae05,3024,4032,37.49,127.07,1,0,0,0,0
50,yangjae06,3024,4032,37.49,127.07,0,1,0,0,0
51,yangjae07,3024,4032,37.49,127.07,1,1,0,0,0
52,yangjae08,3024,4032,37.49,127.07,0,0,0,0,1
53,yangjae09,3024,4032,37.49,127.07,1,0,0,0,0
54,yangjae10,3024,4032,37.49,127.07,0,0,0,0,1
55,yangjae11,3024,4032,37.49,127.07,1,0,0,0,0
56,yangjae12,3024,4032,37.49,127.07,1,1,0,0,0
57,yangjae13,3024,4032,37.49,127.07,1,1,0,0,0
58,yangjae14,3024,4032,37.49,127.07,1,0,0,0,0
59,yangjae15,3024,4032,37.49,127.07,1,0,0,0,0
60,yangjae16,3024,4032,37.49,127.07,0,1,0,0,0
61,yangjae17,3024,4032,37.49,127.07,1,0,0,0,0
62,yangjae18,3024,4032,37.49,127.07,0,1,0,0,0
63,yangjae19,3024,4032,37.49,127.07,0,1,0,0,0
64,yangjae20,3024,4032,37.49,127.07,0,1,0,0,1
65,yangjae21,3024,4032,37.49,127.07,0,1,0,0,1
66,yangjae22,3024,4032,37.49,127.07,1,0,0,0,0
67,yangjae23,3024,4032,37.49,127.07,1,0,0,1,0
68,yangjae24,3024,4032,37.49,127.07,0,1,0,0,0
69,yangjae25,3024,4032,37.49,127.07,1,0,0,0,0
70,yangjae26,3024,4032,37.49,127.07,1,0,0,0,0
71,yangjae27,3024,4032,37.49,127.07,0,0,0,0,1
72,yangjae28,3024,4032,37.49,127.07,0,0,0,0,1
73,yangjae29,3024,4032,37.49,127.07,1,0,0,0,0
74,yangjae30,3024,4032,37.49,127.07,0,0,0,0,1
75,yangjae31,3024,4032,37.49,127.07,0,1,0,0,0
76,yangjae32,3024,4032,37.49,127.07,0,1,0,0,0
77,yangjae33,3024,4032,37.49,127.07,0,1,0,0,0
78,yangjae34,3024,4032,37.49,127.07,0,0,0,0,1
79,yangjae35,3024,4032,37.49,127.07,0,0,0,0,1
80,yangjae36,3024,4032,37.49,127.07,0,0,0,1,0
81,yangjae37,3024,4032,37.49,127.07,0,0,1,0,0
82,yangjae38,3024,4032,37.49,127.07,0,1,0,0,0
83,yangjae39,3024,4032,37.49,127.07,0,1,0,0,0
84,yangjae40,3024,4032,37.49,127.07,0,1,0,0,0
85,yangjae41,3024,4032,37.49,127.07,0,0,0,0,1
86,yangjae42,3024,4032,37.49,127.07,0,0,1,0,0
87,yangjae43,3024,4032,37.49,127.07,0,0,0,0,1
88,yangjae44,3024,4032,37.49,127.07,0,1,0,0,0
89,yangjae45,3024,4032,37.49,127.07,0,1,0,0,0
90,yangjae46,3024,4032,37.49,127.07,0,1,0,0,0
91,yangjae47,3024,4032,37.49,127.07,0,0,1,0,0
92,cheonho01,4032,3024,37.33,127.01,1,1,0,0,1
93,cheonho02,3024,4032,37.33,127.01,0,1,0,0,0
94,Seongbuk41,3024,4032,37.58,127.01,0,1,0,0,0
95,Seongbuk42,3024,4032,37.58,127.01,0,0,0,0,1
96,Seongbuk43,3024,4032,37.58,127.01,0,1,0,0,0
97,cheolwon01,3024,4032,38.25,127.18,0,1,0,0,0
98,cheolwon02,3024,4032,38.25,127.18,0,0,0,0,1
99,cheolwon03,3024,4032,38.25,127.18,1,0,0,0,0
100,cheowon04,3024,4032,38.25,127.18,0,0,1,0,0
