Number,Data_Name,Widths,Hights,Latitude,Longitude,Rubbish,Plastics,Cans,Glass,Papers
1,sample001,1080,1440,37.48092985,126.874906,1,1,0,0,0
2,sample002,1080,1440,37.48092985,126.874906,1,1,0,0,0
3,sample003,1080,1440,37.48092985,126.874906,1,1,0,0,0
4,sample004,1080,1440,37.48092985,126.874906,1,1,0,0,0
5,sample005,1080,1440,37.4820115,126.8751388,1,1,0,0,0
6,sample006,1080,1440,37.4820115,126.8751388,1,1,0,0,0
7,sample007,1080,1440,37.4820115,126.8751388,1,1,0,0,0
8,sample008,1080,1440,37.4820115,126.8751388,1,1,0,0,0
9,sample009,1080,1440,37.48271481,126.8738117,1,1,0,0,1
10,sample010,1080,1440,37.48271481,126.8738117,1,1,0,0,1
11,sample011,1080,1440,37.48271481,126.8738117,1,1,0,0,1
12,sample012,1080,1440,37.475109,126.8768657,0,1,0,0,0
13,sample013,1080,1440,37.475109,126.8768657,0,1,0,0,0
14,sample014,1080,1440,37.475109,126.8768657,0,1,0,0,0
15,sample015,1080,1440,37.47560388,126.876333,0,0,0,0,1
16,sample016,1080,1440,37.47560388,126.876333,0,0,0,0,1
17,sample017,1080,1440,37.47560388,126.876333,0,1,0,0,0
18,sample018,1080,1440,37.47558694,126.8767328,1,0,0,0,0
19,sample019,1080,1440,37.47558694,126.8767328,1,0,0,0,1
20,sample020,1080,1440,37.47558694,126.8767328,1,0,0,0,1
21,sample021,1080,1440,37.47558694,126.8767328,1,0,0,0,1
22,sample022,1080,1440,37.47558694,126.8767328,1,0,0,0,1
23,sample023,1080,1440,37.47560388,126.876333,0,0,0,0,1
24,sample024,1080,1440,37.53272525,126.9310058,0,0,0,0,1
25,sample025,1080,1440,37.53272525,126.9310058,1,0,0,0,1
26,sample026,1080,1440,37.52663003,126.9328152,0,1,0,0,0
27,sample027,1080,1440,37.52663003,126.9328152,0,1,0,0,0
28,sample028,1080,1440,37.52663003,126.9328152,0,1,0,0,0
29,sample029,1080,1440,37.52663003,126.9328152,0,1,0,0,0
30,sample030,1080,1440,37.52663003,126.9328152,0,0,0,0,1
31,sample031,1080,1440,37.52663003,126.9328152,0,1,0,0,0
32,sample032,1080,1440,37.52663003,126.9328152,1,1,0,0,0
33,sample033,1080,1440,37.4807051,126.8458342,1,1,0,0,0
