Number,Name,Widths,Hights,Latitude,Longitude,Rubbish,Plastics,Cans,Glass,Papers,
1,Image001,3024,4032,37.589606,127.017665,1,0,0,1,0,
2,Image002,3024,4032,37.589598,127.017677,0,0,0,1,0,
3,Image003,3024,4032,37.589524,127.017784,1,0,0,0,0,
4,Image004,3024,4032,37.589521,127.01757,0,0,0,0,1,
5,Image005,3024,4032,37.58952,127.017599,1,0,0,0,0,
6,Image006,3024,4032,37.589521,127.017585,1,0,0,0,0,
7,Image007,3024,4032,37.589542,127.017597,0,0,0,1,0,
8,Image008,3024,4032,37.589469,127.017593,0,0,0,1,0,
9,Image009,3024,4032,37.589448,127.017679,1,0,0,0,0,
10,Image010,3024,4032,37.589503,127.017837,1,0,0,0,0,
11,Image011,3024,4032,37.589501,127.017835,1,0,0,0,0,
12,Image012,3024,4032,37.589507,127.017836,1,0,0,0,0,
13,Image013,3024,4032,37.589504,127.017836,1,0,0,0,0,
14,Image014,3024,4032,37.589524,127.017793,1,0,0,0,0,
15,Image015,3024,4032,37.589558,127.017746,1,0,0,0,0,
16,Image016,3024,4032,37.589541,127.017757,1,0,0,0,0,
17,Image017,3024,4032,37.589635,127.017629,1,0,0,0,0,
18,Image018,3024,4032,37.589711,127.01753,1,0,0,0,0,
19,Image019,3024,4032,37.589637,127.017463,0,0,0,0,1,
20,Image020,3024,4032,37.589737,127.017501,1,0,0,0,0,
21,Image021,3024,4032,37.589692,127.017389,1,0,0,0,0,
22,Image022,3024,4032,37.589736,127.017323,0,0,0,0,1,
23,Image023,3024,4032,37.589771,127.017462,0,0,0,0,1,
24,Image024,3024,4032,37.589779,127.01746,0,0,0,0,1,
25,Image025,3024,4032,37.589792,127.017444,1,0,0,0,0,
26,Image026,3024,4032,37.589503,127.017797,1,0,0,0,0,
27,Image027,3024,4032,37.5895,127.01778,0,0,0,0,1,
28,Image028,3024,4032,37.58949,127.017814,1,0,0,0,1,
29,Image029,3024,4032,37.589489,127.017822,1,0,0,0,1,
30,Image030,3024,4032,37.589471,127.017838,1,0,0,0,0,
31,Image031,3024,4032,37.589473,127.017839,1,0,0,0,0,
32,Image032,3024,4032,37.590285,127.016893,1,0,0,0,0,
33,Image033,3024,4032,37.589567,127.01759,0,1,0,0,0,
34,Image034,3024,4032,37.589552,127.017824,0,1,0,0,0,
35,Image035,3024,4032,37.589947,127.018188,0,1,0,0,0,
36,Image036,3024,4032,37.588539,127.018792,0,0,0,0,1,
