Number,TrashName,TrashType,TrashWeight,TrashPrice,TrashLocation,TrashTransparency
1,Strap,trash,4.2,0,Yeouido,FALSE
2,Plasticbag1,PE,1,0.464,SokCho,TRUE
3,Plasticbag2,PE,100,1900,SokCho,FALSE
4,Beverage1,PET,340.19,149.34,Jamsil,FALSE
5,WaterBottle1,PP,16,6.99,Jamsil,TRUE
6,LiptonIceTea,PET,14.42,6.33,Jamsil,TRUE
7,Squidtrash,Paper(Newspaper),300,40.8,Jamsil,FALSE
8,Beverage2,PET,453.59,199.12,Jamsil,TRUE
9,WaterBottle2,PET,16,6.99,Jamsil,TRUE
10,WaterBottle3,PET,16,6.99,Jamsil,TRUE
11,ToiletPaperRoll1,Paper(Cardboard),200,19.4,Jamsil,FALSE
12,BambooSkewers,trash,136,0,Jamsil,FALSE
13,PaperNapkin,trash,4,0,Jamsil,FALSE
14,Beverage3,PET,453.59,199.12,Jamsil,TRUE
15,WaterBottle4,PE,306.74,148.46,Jamsil,TRUE
16,BambooSkewers2,trash,250,0,Jamsil,FALSE
17,Sticker,trash,27.21,0,Jamsil,FALSE
18,PaperCupHolder,Paper(Cardboard),1,0.097,Jamsil,FALSE
19,PaperStraw,trash,0.3,0,Jamsil,FALSE
20,PlasticCupCover1,PET,3,1.31,Jamsil,TRUE
21,PlasticCupCover2,PET,3,1.31,Jamsil,TRUE
22,Churrospaper,trash,0.3,0,Jamsil,FALSE
23,Detergentbottle,PE,800,535.2,Busan,FALSE
24,WaterBottle5,PET,23,10.28,Busan,TRUE
25,PlasticSpoon,PE,3,1.45,Busan,FALSE
26,PocariSweat,PET,9,4.02,Busan,FALSE
27,Medicinebottle,PP,25,10.92,Hanti,FALSE
28,CerealBottle,PP,102,61.6,Hanti,TRUE
29,ToningLotionBottle,pp,46,27.78,Hanti,TRUE
30,JuiceBottle,PET,34,14.92,Hanti,TRUE
31,HairbandCase,PET,7,3.07,Hanti,TRUE
32,PencilcaseWrapper,PET,22,9.65,Hanti,TRUE
33,FoodPlasticCase,PE,19,9.19,Hanti,TRUE
34,LemonCandy,Metal(Ironcan),21,5.92,Hanti,FALSE
35,EssenceCreamFoam,PE,40,27.76,Hanti,FALSE
36,TinCan,Metal(Ironcan),137,38.63,Hanti,FALSE
37,Spounge,PS,2,1.924,Hanti,FALSE
38,RubberBand,trash,0.1,0,Hanti,FALSE
39,Vita500Wrapper,PP,0.8,0.34,Hanti,FALSE
40,MaskWrapper,PP,0.3,0.13,Hanti,FALSE
41,PaperCup,Paper(Cardboard),5,0.48,Hanti,FALSE
42,HariboWrapper,PP,5,3.76,Hanti,FALSE
43,RamenWrapper,PP,8,6.01,Hanti,FALSE
44,CorrectionTapeWrapper,PP,0.2,0.15,Hanti,TRUE
45,BubbleWrapper,PE,4,2.77,Hanti,FALSE
46,VegetablePlasticBag,PP,0.3,0.18,Hanti,TRUE
47,SeaweedWrapper1,PP,2,1.2,Hanti,TRUE
48,RamenWrapper,PP,3,1.81,Hanti,FALSE
49,RamenSauce,PP,1,0.6,Hanti,FALSE
50,Cotton,trash,0.1,0,Hanti,FALSE
51,AlcoholBottle,Glassbottle(Bluishgreen),250,7.25,Hanti,TRUE
52,SodaCan,Metal(Ironcan),13,3.66,Hanti,FALSE
53,KitchenTowelRoll,Paper(Cardboard),14,1.35,Hanti,FALSE
54,ToothPasteWrapper,Paper(Cardboard),14,1.35,Hanti,FALSE
55,InstantRiceWrapper,Paper(Cardboard),11,1.06,Hanti,FALSE
56,TeaBox,Paper(Cardboard),10,0.97,Hanti,FALSE
57,FacialMaskBox,Paper(Cardboard),26,2.52,Hanti,FALSE
58,ZipperBagBox,Paper(Cardboard),31,3,Hanti,FALSE
59,PlasticBagBox,Paper(Cardboard),44,4.26,Hanti,FALSE
60,ClotheTag,Paper(Cardboard),8,0.77,Hanti,FALSE
61,ArtificialTears,PE,0.4,0.27,Hanti,FALSE
62,WaterTissue1,PP,6,4.51,Hanti,FALSE
63,SoybeanMilkBox,Paper(Cardboard),9,0.87,Hanti,FALSE
64,KetchupSauce1,PP,18,10.87,Hanti,FALSE
65,Mesh,PP,0.1,0.06,Hanti,FALSE
66,CrispBox,PE,17,11.79,Hanti,FALSE
67,PaperCup,Paper(Cardboard),5,0.48,Hanti,FALSE
68,EyebrowRazor,Paper(Cardboard),3,0.29,Hanti,FALSE
69,WaterTissue2,PP,6,3.62,Hanti,FALSE
70,SeaweedWrapper2,PP,8,4.83,Hanti,FALSE
71,CrispWrapper,PP,1,0.6,Hanti,FALSE
72,PlasticCupCover3,PET,3,1.31,Hanti,TRUE
73,CoolerBag,trash,7,0,Hanti,FALSE
74,A4Paper,Paper(Cardboard),4,0.38,Hanti,FALSE
75,ContactLens,PP,0.2,0.12,Hanti,FALSE
76,ToiletPaperRoll2,Paper(Cardboard),7,0.67,Hanti,FALSE
77,PlasticStraw,PE,0.2,0.13,Hanti,FALSE
78,AppleJuicePackage,Paper(Cardboard),8,0.77,Hanti,FALSE
79,HairTreatment,PE,30,20.82,Hanti,FALSE
80,KetchupSauce2,PE,0.3,0.2,Hanti,FALSE
81,PrintFliers,Paper(Cardboard),3,0.29,Hanti,FALSE
82,Loofah,PE,1,0.69,Hanti,FALSE
83,AdPaper,trash,2,0,Busan,FALSE
84,Plasticbox,PE,3000,2082,Busan,FALSE
85,Styrofoam1,PS,1200,954,Busan,FALSE
86,Styrofoam2,PS,1300,1033,Busan,FALSE
87,Log,trash,7000,0,Busan,FALSE
88,Rope,PP,4000,2416,Busan,FALSE
89,PlasticBag,PE,700,485.8,Busan,FALSE
90,Shampoobottle,PE,150,104.1,Busan,FALSE
91,CrackerWrapper,PP,2,1.2,Busan,FALSE
92,RubberCover,Rubberpowder,45,11.25,Hanti,FALSE
93,ClothesRack,Metal(Ironclipping),10,3.68,Hanti,FALSE
