Number,Name,Widths,Hights,Latitude,Longitude,Plastics,Cans,Glass,Papers,fabric
1,1177,4032,3024,37.43,126.37,1,0,0,0,0
2,1178,4032,3024,37.43,126.37,1,0,0,0,0
3,1179,4032,3024,37.43,126.37,1,0,0,0,0
4,1180,4032,3024,37.43,126.37,1,0,0,0,0
5,1181,4032,3024,37.43,126.37,1,0,0,0,0
6,1182,4032,3024,37.43,126.37,1,0,0,0,0
7,1183,4032,3024,37.43,126.37,0,0,0,1,0
8,1184,4032,3024,37.43,126.37,0,0,0,1,0
9,1185,4032,3024,37.43,126.37,0,0,0,1,0
10,1186,4032,3024,37.43,126.37,0,0,0,1,0
11,1187,4032,3024,37.43,126.37,0,0,0,1,0
12,1188,4032,3024,37.43,126.37,0,0,0,1,0
13,1189,4032,3024,37.43,126.37,1,0,0,0,0
14,1190,4032,3024,37.43,126.37,1,0,0,0,0
15,1191,4032,3024,37.43,126.37,1,0,0,0,0
16,1192,4032,3024,37.43,126.37,0,0,0,0,1
17,1193,4032,3024,37.43,126.37,0,0,0,0,1
18,1194,4032,3024,37.43,126.37,0,1,0,0,0
19,1195,4032,3024,37.43,126.37,0,0,1,0,0
20,1196,4032,3024,37.43,126.37,0,0,0,0,1
21,1199,4032,3024,37.43,126.37,0,0,0,0,1
22,1200,4032,3024,37.43,126.37,0,0,0,0,1
23,1201,4032,3024,37.43,126.37,0,0,0,0,1
24,1202,4032,3024,37.43,126.37,0,0,0,0,1
25,1203,4032,3024,37.43,126.37,0,0,0,0,1
26,1204,4032,3024,37.43,126.37,0,0,0,0,1
27,1205,4032,3024,37.43,126.37,1,0,0,0,0
28,1206,4032,3024,37.43,126.37,1,0,0,0,0
29,1207,4032,3024,37.43,126.37,1,0,0,0,0
30,1208,4032,3024,37.43,126.37,1,0,0,0,0
31,1209,4032,3024,37.43,126.37,1,0,0,0,0
32,1210,4032,3024,37.43,126.37,0,0,0,0,1
33,1211,4032,3024,37.43,126.37,0,0,0,0,1
34,1212,4032,3024,37.43,126.37,0,0,0,0,1
35,1213,4032,3024,37.43,126.37,0,0,0,0,1
36,1214,4032,3024,37.43,126.37,0,0,0,0,1
37,1216,4032,3024,37.43,126.37,0,0,0,0,0
38,1217,4032,3024,37.43,126.37,0,0,0,0,0
39,1218,4032,3024,37.43,126.37,0,0,0,0,0
40,1219,4032,3024,37.43,126.37,0,0,0,0,0
41,1220,4032,3024,37.43,126.37,0,0,0,0,0
42,1221,4032,3024,37.43,126.37,0,0,0,0,0
43,1222,4032,3024,37.43,126.37,0,0,0,0,0
44,1223,4032,3024,37.43,126.37,0,0,0,0,0
45,1224,4032,3024,37.43,126.37,0,0,0,0,0
46,1225,4032,3024,37.43,126.37,0,0,0,0,1
47,1226,4032,3024,37.43,126.37,0,0,0,0,1
48,1227,4032,3024,37.43,126.37,0,0,0,0,1
49,1228,4032,3024,37.43,126.37,0,0,1,0,0
50,1229,4032,3024,37.43,126.37,0,0,1,0,0
51,1230,4032,3024,37.43,126.37,0,0,1,0,0
52,1231,4032,3024,37.43,126.37,0,0,1,0,0
53,1234,4032,3024,37.43,126.37,0,0,0,1,0
54,1235,4032,3024,37.43,126.37,0,0,0,1,0
55,1236,4032,3024,37.43,126.37,0,0,0,1,0
56,1237,4032,3024,37.43,126.37,0,0,0,1,0
57,1238,4032,3024,37.43,126.37,0,0,0,1,0
58,1271,4032,3024,37.46,127.09,0,0,0,0,1
59,1272,4032,3024,37.46,127.09,0,0,0,1,0
60,1273,4032,3024,37.46,127.09,0,0,0,1,0
61,1274,4032,3024,37.46,127.09,0,0,0,1,0
62,1275,4032,3024,37.46,127.09,1,0,0,0,0
63,1276,4032,3024,37.46,127.09,1,0,0,0,0
64,1277,4032,3024,37.46,127.09,1,0,0,0,0
65,1278,4032,3024,37.46,127.09,0,0,1,0,0
66,1279,4032,3024,37.46,127.09,0,0,1,0,0
67,1280,4032,3024,37.46,127.09,0,0,1,0,0
68,1281,4032,3024,37.46,127.09,0,0,1,0,0
69,1282,4032,3024,37.46,127.09,0,0,1,0,0
70,1283,4032,3024,37.46,127.09,0,0,1,0,0
71,1284,4032,3024,37.46,127.09,0,0,1,0,0
72,1285,4032,3024,37.46,127.09,0,0,1,0,0
73,1286,4032,3024,37.46,127.09,0,0,0,0,1
74,1287,4032,3024,37.46,127.09,0,0,0,0,1
75,1288,4032,3024,37.46,127.09,0,0,0,0,1
76,1289,4032,3024,37.46,127.09,0,0,0,0,1
77,1290,4032,3024,37.46,127.09,0,0,0,0,1
78,1291,4032,3024,37.46,127.09,0,0,0,0,1
79,1292,4032,3024,37.46,127.09,0,0,0,0,1
80,1301,4032,3024,37.46,127.09,1,0,0,0,0
81,1302,4032,3024,37.46,127.09,1,0,0,0,0
82,1303,4032,3024,37.46,127.09,1,0,0,0,0
83,1304,4032,3024,37.46,127.09,1,0,0,0,0
84,1341,4032,3024,37.46,127.09,1,0,0,0,0
85,1342,4032,3024,37.46,127.09,1,0,0,0,0
86,1343,4032,3024,37.46,127.09,1,0,0,0,0
87,1344,4032,3024,37.46,127.09,1,0,0,0,0
88,1345,4032,3024,37.46,127.09,1,0,0,0,0
89,1346,4032,3024,37.46,127.09,0,0,0,1,0
90,1347,4032,3024,37.46,127.09,0,0,0,1,0
91,1348,4032,3024,37.46,127.09,0,0,0,1,0
92,1349,4032,3024,37.46,127.09,0,0,0,1,0
93,1350,4032,3024,37.46,127.09,0,0,0,1,0
94,1351,4032,3024,37.46,127.09,0,0,0,1,0
95,1352,4032,3024,37.46,127.09,1,0,0,0,0
96,1353,4032,3024,37.46,127.09,1,0,0,0,0
97,1354,4032,3024,37.46,127.09,1,0,0,0,0
98,1355,4032,3024,37.46,127.09,1,0,0,0,0
99,1356,4032,3024,37.46,127.09,1,0,0,0,0
100,1357,4032,3024,37.46,127.09,1,0,0,0,0
101,1358,4032,3024,37.46,127.09,0,1,0,0,0
102,1359,4032,3024,37.46,127.09,0,1,0,0,0
103,1360,4032,3024,37.46,127.09,0,1,0,0,0
104,1361,4032,3024,37.46,127.09,0,1,0,0,0
105,1362,4032,3024,37.46,127.09,0,1,0,0,0
106,1363,4032,3024,37.46,127.09,0,1,0,0,0
107,1364,4032,3024,37.46,127.09,0,0,0,1,0
108,1365,4032,3024,37.46,127.09,0,0,0,1,0
109,1366,4032,3024,37.46,127.09,0,0,0,1,0
110,1367,4032,3024,37.46,127.09,0,0,0,1,0
111,1368,4032,3024,37.46,127.09,0,0,0,1,0
112,1369,4032,3024,37.46,127.09,0,0,0,1,0
113,1370,4032,3024,37.46,127.09,0,0,0,1,0
