Number,Name,Widths,Hights,Latitude,Longitude,Rubish,Plastics,Cans,Glass,Papers
1,E_2385,3024,4032,37.49,126.98,0,1,0,0,0
2,E_2386,3024,4032,37.49,126.98,0,1,0,0,0
3,E_2387,4032,3024,37.49,126.98,0,1,0,0,0
4,E_2388,3024,4032,37.49,126.98,0,1,0,0,0
5,E_2389,4032,3024,37.49,126.98,0,1,0,0,0
6,E_2390,4032,3024,37.49,126.98,0,1,0,0,0
7,E_2391,3024,4032,37.49,126.98,1,1,0,0,0
8,E_2392,3024,4032,37.49,126.98,1,1,0,0,0
9,E_2393,3024,4032,37.49,126.98,1,1,0,0,0
10,E_2394,3024,4032,37.49,126.98,1,0,0,0,0
11,E_2395,3024,4032,37.49,126.98,1,0,0,0,0
12,E_2396,3024,4032,37.49,126.98,1,0,0,0,0
13,E_2397,3024,4032,37.49,126.98,0,0,1,0,0
14,E_2398,4032,3024,37.49,126.98,0,0,1,0,0
15,E_2399,4032,3024,37.49,126.98,0,0,1,0,0
16,E_2400,3024,4032,37.49,126.98,0,1,0,0,0
17,E_2401,3024,4032,37.49,126.98,0,1,0,0,0
18,E_2402,4032,3024,37.49,126.98,0,1,0,0,0
19,E_2403,3024,4032,37.49,126.98,0,1,0,0,0
20,E_2404,4032,3024,37.49,126.98,0,1,0,0,0
21,E_2405,4032,3024,37.49,126.98,0,1,0,0,0
22,E_2406,3024,4032,37.49,126.98,0,0,0,0,1
23,E_2407,3024,4032,37.49,126.98,0,0,0,0,1
24,E_2408,3024,4032,37.49,126.98,0,0,0,0,1
25,E_2409,3024,4032,37.49,126.98,0,0,0,0,1
26,E_2410,3024,4032,37.49,126.98,1,0,0,0,0
27,E_2411,3024,4032,37.49,126.98,1,0,0,0,0
28,E_2412,3024,4032,37.49,126.98,1,0,0,0,0
29,E_2413,3024,4032,37.49,126.98,1,0,0,0,0
30,E_2414,3024,4032,37.49,126.98,1,0,0,0,0
31,E_2415,3024,4032,37.49,126.98,0,1,0,0,0
32,E_2416,3024,4032,37.49,126.98,0,1,0,0,0
33,E_2417,3024,4032,37.49,126.98,1,0,0,0,0
34,E_2418,3024,4032,37.49,126.98,1,0,0,0,0
35,E_2419,3024,4032,37.49,126.98,1,0,0,0,0
36,E_2420,3024,4032,37.49,126.98,0,1,0,0,0
37,E_2421,3024,4032,37.49,126.98,0,1,0,0,0
38,E_2422,4032,3024,37.49,126.98,0,1,0,0,0
39,E_2423,4032,3024,37.49,126.98,0,1,0,0,0
40,E_2424,3024,4032,37.49,126.98,0,1,0,0,0
41,E_2425,3024,4032,37.49,126.98,0,1,0,0,0
42,E_2426,3024,4032,37.49,126.98,0,1,0,0,0
43,E_2427,3024,4032,37.49,126.98,0,1,0,0,0
44,E_2428,4032,3024,37.49,126.98,0,1,0,0,0
45,E_2429,3024,4032,37.49,126.98,0,1,1,0,0
46,E_2430,3024,4032,37.49,126.98,0,1,1,0,0
47,E_2431,3024,4032,37.49,126.98,0,1,1,0,0
48,E_2432,3024,4032,37.49,126.98,0,1,0,0,0
49,E_2433,4032,3024,37.49,126.98,0,1,0,0,0
50,E_2434,3024,4032,37.49,126.98,0,1,0,0,0
51,E_2435,3024,4032,37.49,126.98,0,1,0,0,0
52,E_2436,3024,4032,37.49,126.98,0,1,0,0,0
53,E_2437,3024,4032,37.49,126.98,0,1,0,0,0
54,E_2438,3024,4032,37.49,126.98,0,1,0,0,0
55,E_2439,3024,4032,37.49,126.98,0,1,0,0,0
56,E_2440,3024,4032,37.49,126.98,0,1,0,0,0
57,E_2441,3024,4032,37.49,126.98,1,0,0,0,0
58,E_2442,3024,4032,37.49,126.98,0,1,0,0,0
59,E_2443,3024,4032,37.49,126.98,0,1,0,0,0
60,E_2444,3024,4032,37.49,126.98,0,1,0,0,0
61,E_2445,3024,4032,37.49,126.98,0,1,0,0,0
62,E_2446,3024,4032,37.49,126.98,0,0,0,0,1
63,E_2447,3024,4032,37.49,126.98,0,0,0,0,1
64,E_2448,3024,4032,37.49,126.98,0,1,0,0,0
65,E_2449,4032,3024,37.49,126.98,0,1,0,0,0
66,E_2450,4032,3024,37.49,126.98,0,1,0,0,0
67,E_2451,3024,4032,37.49,126.98,0,1,0,0,0
68,E_2452,3024,4032,37.49,126.98,0,1,0,0,0
69,E_2453,3024,4032,37.49,126.98,0,1,0,0,0
70,E_2454,3024,4032,37.49,126.98,0,1,0,0,0
71,E_2455,3024,4032,37.49,126.98,0,1,0,0,0
72,E_2456,3024,4032,37.49,126.98,0,1,0,0,0
73,E_2457,3024,4032,37.49,126.98,0,1,0,1,0
74,E_2458,3024,4032,37.49,126.98,0,1,0,1,0
75,E_2459,3024,4032,37.49,126.98,1,0,0,0,0
76,E_2460,3024,4032,37.49,126.98,1,0,0,0,0
77,E_2461,3024,4032,37.49,126.98,0,0,0,0,1
78,E_2462,3024,4032,37.49,126.98,0,1,0,0,0
79,E_2463,3024,4032,37.49,126.98,0,1,0,0,0
80,E_2464,3024,4032,37.49,126.98,1,1,0,0,0
81,E_2465,3024,4032,37.49,126.98,0,1,0,0,0
82,E_2466,3024,4032,37.49,126.98,0,1,0,0,0
83,E_2467,3024,4032,37.49,126.98,1,0,0,0,0
84,E_2468,3024,4032,37.49,126.98,0,0,0,1,0
85,E_2469,3024,4032,37.49,126.98,0,0,0,1,0
86,E_2470,3024,4032,37.49,126.98,1,0,0,0,0
87,E_2471,3024,4032,37.49,126.98,0,1,0,0,0
88,E_2472,3024,4032,37.49,126.98,1,0,0,0,0
89,E_2473,3024,4032,37.49,126.98,0,1,0,0,0
90,E_2474,3024,4032,37.49,126.98,0,1,0,0,0
91,E_2475,3024,4032,37.49,126.98,0,1,0,0,0
92,E_2476,3024,4032,37.49,126.98,0,1,0,0,0
93,E_2477,3024,4032,37.49,126.98,0,1,0,0,0
94,E_2478,3024,4032,37.49,126.98,0,1,0,0,0
95,E_2479,3024,4032,37.49,126.98,0,1,0,0,0
96,E_2480,3024,4032,37.49,126.98,0,1,0,0,0
97,E_2481,3024,4032,37.49,126.98,0,1,0,0,0
98,E_2482,3024,4032,37.49,126.98,0,1,0,0,0
99,E_2483,3024,4032,37.49,126.98,0,1,0,0,0
100,E_2484,3024,4032,37.49,126.98,0,1,0,0,0
101,E_2485,3024,4032,37.49,126.98,1,0,0,0,0
102,E_2486,3024,4032,37.49,126.98,1,0,0,0,0
103,E_2487,3024,4032,37.49,126.98,1,0,0,0,0
104,E_2488,3024,4032,37.49,126.98,0,1,0,0,0
105,E_2489,3024,4032,37.49,126.98,0,1,0,0,0
106,E_2490,3024,4032,37.49,126.98,0,1,0,0,0
107,E_2491,3024,4032,37.49,126.98,0,1,0,0,0
108,E_2492,3024,4032,37.49,126.98,1,0,0,0,0
109,E_2493,3024,4032,37.49,126.98,0,1,0,0,0
110,E_2494,3024,4032,37.49,126.98,0,1,0,0,0
111,E_2495,3024,4032,37.49,126.98,0,1,0,0,0
112,E_2496,3024,4032,37.49,126.98,0,1,0,0,0
113,E_2497,3024,4032,37.49,126.98,1,1,0,0,0
114,E_2498,3024,4032,37.49,126.98,0,1,0,0,0
115,E_2499,3024,4032,37.49,126.98,1,0,0,0,0
116,E_2500,3024,4032,37.49,126.98,1,0,0,0,0
117,E_2501,3024,4032,37.49,126.98,0,1,0,0,0
118,E_2502,3024,4032,37.49,126.98,0,1,0,0,0
119,E_2503,3024,4032,37.49,126.98,0,1,0,0,0
120,E_2504,3024,4032,37.49,126.98,0,1,0,0,0
121,E_2505,3024,4032,37.49,126.98,1,1,0,0,0
122,E_2506,3024,4032,37.49,126.98,1,1,0,0,0
123,E_2507,3024,4032,37.49,126.98,1,1,0,0,0
124,E_2508,3024,4032,37.49,126.98,1,1,0,0,0
