Number,Name,Widths,Heights,Latitude,Longtitude,Rubbish,Plastics,Cans,Glass,Papers
1,IMG_3677.png,3024,4032,37.56,127.19,1,0,0,0,0
2,IMG_3730.png,1980,2640,37.56,127.19,1,0,0,0,0
3,IMG_3731.png,1980,2640,37.56,127.19,1,0,0,0,0
4,IMG_3737.png,3024,4032,37.56,127.19,1,0,0,0,0
5,IMG_3594.png,3024,4032,37.56,127.19,1,0,0,0,0
6,IMG_3666.png,2996,3994,37.56,127.19,1,0,0,0,0
7,IMG_3595.png,3024,4032,37.56,127.19,1,0,0,0,0
8,IMG_3665.png,2996,3994,37.56,127.19,1,0,0,0,0
9,IMG_3661.png,2195,2927,37.56,127.19,1,0,0,0,0
10,IMG_3606.png,3024,4032,37.56,127.19,1,0,0,0,0
11,IMG_3607.png,3024,4032,37.56,127.19,1,0,0,0,0
12,IMG_3753.png,3024,4032,37.56,127.19,1,0,0,0,0
13,IMG_3760.png,3024,4032,37.56,127.19,1,0,0,0,0
14,IMG_3761.png,3024,4032,37.56,127.19,1,0,0,0,0
15,IMG_3762.png,3024,4032,37.56,127.19,1,0,0,0,0
16,IMG_3763.png,3020,4026,37.56,127.19,1,0,0,0,0
17,IMG_3586.png,3024,4032,37.56,127.19,1,0,0,0,0
18,IMG_3587.png,3024,4032,37.56,127.19,1,0,0,0,0
19,IMG_3591.png,3024,4032,37.56,127.19,1,0,0,0,0
20,IMG_3592.png,3024,4032,37.56,127.19,1,0,0,0,0
21,IMG_3614.png,3024,4032,37.56,127.19,1,0,0,0,0
22,IMG_3615.png,3024,4032,37.56,127.19,1,0,0,0,0
23,IMG_3618.png,3024,4032,37.56,127.19,1,0,0,0,0
24,IMG_3654.png,3000,4000,37.56,127.19,1,0,0,0,0
25,IMG_3629.png,3024,4032,37.56,127.19,1,0,0,0,0
26,IMG_3630.png,3024,4032,37.56,127.19,1,0,0,0,0
27,IMG_3632.png,3024,4032,37.56,127.19,1,0,0,0,0
28,IMG_3781.png,3024,4032,37.56,127.19,1,0,0,0,0
29,IMG_3786.png,3024,4032,37.56,127.19,1,0,0,0,0
30,IMG_3787.png,3024,4032,37.56,127.19,1,0,0,0,0
