Number,Name,Widths,Heights,Latitude,Longitude,Rubbish,Plastics,Cans,Glass,Papers
1,IMG_4743,4032,3024,37.00916686,127.0016697,0,1,0,0,0
2,IMG_4744,4032,3024,37.00916874,127.0016705,1,1,0,0,1
3,IMG_4747,4032,3024,37.00916908,127.0016706,1,1,0,0,1
4,IMG_4748,4032,3024,37.00889264,127.0016694,0,1,0,0,0
5,KakaoTalk_20221014_140610960,4032,3024,35.01333657,127.002226,1,0,0,0,0
6,KakaoTalk_20221014_140610960_01,4032,3024,35.01333657,127.002226,1,0,0,0,0
7,KakaoTalk_20221014_140610960_02,4032,3024,35.01333657,127.002226,1,0,0,0,1
8,KakaoTalk_20221014_140610960_03,4032,3024,35.01333656,127.002226,1,0,0,0,0
9,KakaoTalk_20221014_140610960_04,4032,3024,35.01333655,127.002226,1,0,0,0,0
10,KakaoTalk_20221014_140610960_05,4032,3024,35.01333633,127.0022265,1,0,0,0,1
11,KakaoTalk_20221014_140610960_06,4032,3024,35.01333633,127.0022265,1,0,0,0,0
12,KakaoTalk_20221014_140610960_07,4032,3024,35.01333629,127.0022266,1,0,0,0,0
13,KakaoTalk_20221014_140610960_08,4032,3024,35.01333629,127.0022266,1,0,1,0,0
14,KakaoTalk_20221014_140610960_09,4032,3024,35.01333629,127.0022266,1,0,1,0,0
15,KakaoTalk_20221014_140610960_10,4032,3024,35.01333628,127.0022267,0,0,0,0,1
16,KakaoTalk_20221014_140610960_11,4032,3024,35.01333628,127.0022267,1,0,0,0,0
17,KakaoTalk_20221014_140610960_12,4032,3024,35.01333628,127.0022267,1,0,0,0,0
18,KakaoTalk_20221014_140610960_13,4032,3024,35.01333628,127.0022267,1,0,0,0,0
19,KakaoTalk_20221014_140610960_14,4032,3024,35.01333628,127.0022267,0,1,0,0,0
20,KakaoTalk_20221014_140610960_15,4032,3024,35.01333628,127.0022267,1,0,0,0,0
21,KakaoTalk_20221014_140610960_16,4032,3024,35.01333627,127.0022267,0,1,0,0,0
