"Number,Name,Widths,Hights,Latitude,Longitude,Rubbish,Plastics,Cans,Glass,Papers"
"1,img_1353,4032,3024,37.5862,127.0208,1,0,0,0,0"
"2,img_1348,4032,3024,37.5864,127.1222,2,0,0,0,0"
"3,img_1340,4032,3024,37.5775,127.0233,1,0,0,0,0"
"4,img_1338,4032,3024,37.5888,127.0342,1,0,0,0,0"
"5,img_1329,4032,3024,37.3421,127.0123,1,0,0,0,0"
"6,img_1327,4032,3024,37.3009,127.1098,0,1,0,0,0"
"7,img_1325,4032,3024,37.5782,127.0232,1,0,0,0,0"
"8,img_1324,4032,3024,37.5723,127.0256,0,1,0,0,0"
"9,img_1322,4032,3024,37.5722,127.1097,0,1,0,0,0"
"10,img_1320,4032,3024,37.5123,127.1054,0,1,0,0,0"
"11,img_1319,4032,3024,37.4912,127.0952,1,0,0,0,0"
"12,img_1318,4032,3024,37.2428,126.4234,1,0,0,0,0"
"13,img_1315,4032,3024,37.2397,126.8235,0,0,0,0,1"
"14,img_1310,4032,3024,37.2200,126.3822,0,0,1,0,0"
"15,img_1306,4032,3024,37.2212,1126.4222,0,1,0,0,0"
"16,img_1305,4032,3024,37.2202,126.4436,1,0,0,0,0"
"17,img_1304,4032,3024,37.2197,126.4572,2,0,0,0,0"
"18,img_1303,4032,3024,37.2197,126.4057,1,0,0,0,0"
"19,img_1284,4032,3024,37.1867,126.4211,1,0,0,0,0"
"20,img_1328,4032,3024,37.2762,126.1923,0,1,0,0,0"
"21,img_1317,4032,3024,37.2403,126.1772,1,0,0,0,0"
"22,img_1590,4032,3024,37.5622,126.9000,0,0,1,0,0"
"23,img_1669,4032,3024,37.5626,126.9003,0,0,0,1,0"
"24,img_1738,4032,3024,37.5636,126.9034,0,0,0,0,1"
"25,img_1431,4032,3024,37.5082,127.0998,1,0,0,0,0"
"26,img_1436,4032,3024,37.5086,127.0998,0,1,0,0,0"
"27,img_1442,4032,3024,37.5087,127.0999,0,2,0,0,0"
"28,img_1443,4032,3024,37.5087,127.0999,3,1,0,0,0"
"29,img_1444,4032,3024,37.5177,127.1293,2,1,0,0,0"
"30,img_1445,4032,3024,37.5117,127.3199,1,0,0,0,0"
"31,img_1446,4032,3024,37.5124,127.0949,4,1,0,0,0"
"32,img_1447,4032,3024,37.5197,127.0329,1,0,0,0,0"
"33,img_1454,4032,3024,37.5032,127.0749,1,1,0,0,0"
"34,img_1455,4032,3024,37.5127,127.0759,0,1,0,0,0"
"35,img_1456,4032,3024,37.5025,127.0939,0,1,0,0,1"
"36,img_1457,4032,3024,37.5042,127.0249,3,1,0,0,0"
"37,img_1458,4032,3024,37.5007,127.0529,1,0,0,0,0"
"38,img_1459,4032,3024,37.5327,127.0914,0,1,0,0,0"
"39,img_1460,4032,3024,37.5167,127.0872,0,1,0,0,0"
"40,img_1461,4032,3024,37.5297,127.1832,1,0,0,0,0"
"41,img_1462,4032,3024,37.5037,127.0451,3,0,0,0,1"
"42,img_1464,4032,3024,37.5080,127.0319,1,0,0,0,0"
"43,img_1465,4032,3024,37.5096,127.1321,3,0,0,0,0"
"44,img_1466,4032,3024,37.5117,127.0059,3,1,1,0,1"
"45,img_1467,4032,3024,37.5147,127.0734,0,2,0,0,1"
"46,img_1468,4032,3024,37.5073,127.0732,0,3,1,0,0"
"47,img_1469,4032,3024,37.5124,127.0173,0,1,0,0,0"
"48,img_1583,4032,3024,37.5098,127.0852,0,1,0,0,0"
"49,img_1584,4032,3024,37.5097,127.0632,1,0,0,0,0"
"50,img_1586,4032,3024,37.5632,127.0782,1,0,0,0,0"
"51,img_1587,4032,3024,37.5013,127.0997,1,0,0,0,0"
"52,img_1588,4032,3024,37.5082,127.0997,0,1,1,0,0"
"53,img_1589,4032,3024,37.5095,127.0879,1,0,0,0,0"
"54,img_1591,4032,3024,37.5347,127.0985,1,0,0,0,0"
"55,img_1592,4032,3024,37.5098,127.0875,0,1,0,0,0"
"56,img_1593,4032,3024,37.5124,127.0834,1,0,0,0,0"
